ID_Investidor,Investidor,Pessoas,Decisores,Perfis_Enriquecidos,Conteudos_Hooks
INV001,Point Nine,4,4,1,2
INV002,Seedcamp,4,4,2,2
INV003,JME Ventures,3,3,0,0
INV004,Picus Capital,7,6,0,0
INV005,Speedinvest,12,12,4,4
INV006,Index Ventures,12,10,1,1
INV007,Atomico,6,6,2,2
INV008,Balderton Capital,10,8,2,2
INV009,Cherry Ventures,9,4,1,1
INV010,Creandum,12,6,5,5
INV011,Northzone,12,9,3,3
INV012,Project A,10,8,4,5
INV013,Dawn Capital,10,7,5,6
INV014,Octopus Ventures,8,2,5,5
INV015,Notion Capital,6,5,4,4
INV016,Nauta Capital,9,4,5,5
INV017,K Fund,8,6,4,5
INV018,Samaipata,8,5,2,2
INV019,Portugal Ventures,5,4,1,1
INV020,Indico Capital Partners,8,5,2,2
INV021,Shilling,12,10,0,0
INV022,Armilar Venture Partners,10,6,2,2
INV023,Hoxton Ventures,4,2,0,0
INV024,Kindred Capital,8,4,0,0
INV025,Connect Ventures,3,3,3,4
INV026,Heartcore Capital,8,5,0,0
INV027,Partech,7,5,4,4
INV028,Korys,6,1,4,5
INV029,H14,2,0,1,3
INV030,Fink Family Office,2,1,2,5
INV031,DIG Ventures,3,3,3,5
INV032,Smedvig Ventures,5,3,5,7
INV033,Episode 1,7,5,4,6
INV034,Concept Ventures,6,3,6,6
INV035,Empirical Ventures,2,2,2,4
