ID_Pessoa,ID_Investidor,Nome,catalog_entity_id,catalog_person_id,accao,nota_outra_firma
PER0001,INV001,Christoph Janz,6ffbf484-56b4-4132-b2af-3b84bb6d21bd,,CRIAR,
PER0002,INV001,Pawel Chudzinski,6ffbf484-56b4-4132-b2af-3b84bb6d21bd,,CRIAR,
PER0003,INV001,Louis Coppey,6ffbf484-56b4-4132-b2af-3b84bb6d21bd,,CRIAR,
PER0004,INV001,Ricardo Sequerra Amram,6ffbf484-56b4-4132-b2af-3b84bb6d21bd,,CRIAR,
PER0005,INV002,Reshma Sohoni,a9ad0726-07c8-4a3a-808e-aab7256ff62e,ca2a38d0-c9c7-48fc-b5ea-31d239bf5ade,ACTUALIZAR,
PER0006,INV002,Carlos Eduardo Espinal,a9ad0726-07c8-4a3a-808e-aab7256ff62e,f7631406-eb3c-4f7a-9ce5-91aae58a7318,ACTUALIZAR,
PER0007,INV002,Tom Wilson,a9ad0726-07c8-4a3a-808e-aab7256ff62e,2770b24d-5178-44be-ae6b-3a477e94d8e5,ACTUALIZAR,
PER0008,INV002,Sia Houchangnia,a9ad0726-07c8-4a3a-808e-aab7256ff62e,6b83d36d-d418-4a82-a38b-fc9f57e3a42e,ACTUALIZAR,
PER0009,INV003,Samuel Gil,abcaafd8-6737-440c-a0e4-5bc528f3ceb8,,CRIAR,
PER0010,INV003,Lourdes Álvarez de Toledo,abcaafd8-6737-440c-a0e4-5bc528f3ceb8,,CRIAR,
PER0011,INV003,Iván Landabaso,abcaafd8-6737-440c-a0e4-5bc528f3ceb8,,CRIAR,
PER0012,INV004,Alexander Samwer,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0013,INV004,Jeremias Heinrich,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0014,INV004,Robin Godenrath,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0015,INV004,Oliver Heinrich,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0016,INV004,Raphael Mukomilow,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0017,INV004,Sebastian Schäfer,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0018,INV004,Cosima Paul,bd5b288c-7775-4c53-81bd-6e8537f005cc,,CRIAR,
PER0019,INV005,Oliver Holle,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0020,INV005,Markus Lang,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0021,INV005,Andreas Schwarzenbrunner,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0022,INV005,Marie-Hélène Ametsreiter,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0023,INV005,Stefan Klestil,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0024,INV005,Andrea Zitna,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0025,INV005,Deepali Nangia,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0026,INV005,Florian Obst,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0027,INV005,Frederik Hagenauer,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0028,INV005,Jeroen Arts,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0029,INV005,Rana Abdel Latif,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0030,INV005,Will Wells,7d6906ba-dceb-416e-a515-89df058b0c25,,CRIAR,
PER0031,INV006,Danny Rimer,a672ee3f-3684-4024-8b1e-0b88f40db211,57e35a75-3c82-43c9-9518-72210b0fd26a,ACTUALIZAR,
PER0032,INV006,Jan Hammer,a672ee3f-3684-4024-8b1e-0b88f40db211,e42ac2e2-3e13-46a4-9ebb-35b389ec1f1e,ACTUALIZAR,
PER0033,INV006,Martin Mignot,a672ee3f-3684-4024-8b1e-0b88f40db211,6a971d2c-1ff1-4021-9115-2c23ac9ce4be,ACTUALIZAR,
